CONSERVED_DAEs (including priority assigned genes near DAEs which are active in all 6 populations)																		
# GO	NS	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	enrichment	p_fdr_bh	study_items								
......GO:0034121	BP	regulation of toll-like receptor signaling pathway	3/182	3/9865	6.17822E-06	8	3	54.2032967	0.006542249	LALB_v3.1_00988, LALB_v3.1_04510, LALB_v3.1_09964								
......GO:0007486	BP	imaginal disc-derived female genitalia development	3/182	5/9865	6.01123E-05	6	3	32.52197802	0.023982569	LALB_v3.1_00275, LALB_v3.1_06345, LALB_v3.1_07306								
.....GO:0016339	BP	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	5/182	18/9865	1.42631E-05	5.00E+00	5	15.05647131	0.010974459	LALB_v3.1_00841, LALB_v3.1_06107, LALB_v3.1_07925, LALB_v3.1_08348, LALB_v3.1_10682								
....GO:0010453	BP	regulation of cell fate commitment	5/182	19/9865	1.90689E-05	4	5	14.26402545	0.011411661	LALB_v3.1_00419, LALB_v3.1_00893, LALB_v3.1_02515, LALB_v3.1_07306, LALB_v3.1_07308								
...GO:0001217	MF	DNA-binding transcription repressor activity	8/182	47/9865	1.95685E-06	3.00E+00	8	9.226093056	0.004554065	LALB_v3.1_00275, LALB_v3.1_00419, LALB_v3.1_00920, LALB_v3.1_02515, LALB_v3.1_04443, LALB_v3.1_04510, LALB_v3.1_04927, LALB_v3.1_07231								
....GO:0001227	MF	DNA-binding transcription repressor activity, RNA polymerase II-specific	7/182	45/9865	1.62686E-05	4	7	8.431623932	0.010994313	LALB_v3.1_00275, LALB_v3.1_00419, LALB_v3.1_00920, LALB_v3.1_02515, LALB_v3.1_04443, LALB_v3.1_04510, LALB_v3.1_07231								
....GO:0098742	BP	cell-cell adhesion via plasma-membrane adhesion molecules	8/182	55/9865	6.68072E-06	4	8	7.884115884	0.006542249	LALB_v3.1_00841, LALB_v3.1_06107, LALB_v3.1_06178, LALB_v3.1_06828, LALB_v3.1_07925, LALB_v3.1_08348, LALB_v3.1_08644, LALB_v3.1_10682								
...GO:0048608	BP	reproductive structure development	9/182	66/9865	3.04185E-06	3	9	7.391358641	0.004245403	LALB_v3.1_00275, LALB_v3.1_00443, LALB_v3.1_00841, LALB_v3.1_06345, LALB_v3.1_07306, LALB_v3.1_08090, LALB_v3.1_08153, LALB_v3.1_08194, LALB_v3.1_08402								
....GO:0008406	BP	gonad development	6/182	44/9865	0.000143152	4	6	7.391358641	0.038940129	LALB_v3.1_00443, LALB_v3.1_00841, LALB_v3.1_07306, LALB_v3.1_08090, LALB_v3.1_08194, LALB_v3.1_08402								
......GO:0010721	BP	negative regulation of cell development	6/182	45/9865	0.000162672	6	6	7.227106227	0.038940129	LALB_v3.1_00419, LALB_v3.1_00893, LALB_v3.1_02515, LALB_v3.1_08644, LALB_v3.1_10410, LALB_v3.1_10682								
