DAE and fast-evolving CNEE overlapping genes																		
# GO	NS	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	enrichment	p_fdr_bh	study_items								
...GO:0035202	BP	tracheal pit formation in open tracheal system	3/341	4/9865	0.000159597	3	3	21.69721408	0.022620758	LALB_v3.1_03505, LALB_v3.1_05815, LALB_v3.1_09278								
....GO:0090254	BP	cell elongation involved in imaginal disc-derived wing morphogenesis	3/341	4/9865	0.000159597	5	3	21.69721408	0.022620758	LALB_v3.1_00841, LALB_v3.1_05815, LALB_v3.1_08809								
......GO:0034706	CC	sodium channel complex	4/341	6/9865	1.99E-05	6	4	19.28641251	0.002542902	LALB_v3.1_03886, LALB_v3.1_05079, LALB_v3.1_05966, LALB_v3.1_08857								
......GO:0007486	BP	imaginal disc-derived female genitalia development	3/341	5/9865	0.000388753	6	3	17.35777126	0.04076281	LALB_v3.1_00275, LALB_v3.1_06345, LALB_v3.1_07306								
.....GO:0086010	BP	membrane depolarization during action potential	3/341	5/9865	0.000388753	Jan-00	Jan-00	17.35777126	Jan-00	LALB_v3.1_03886, LALB_v3.1_05079, LALB_v3.1_06427								
.....GO:0007449	BP	proximal/distal pattern formation, imaginal disc	4/341	8/9865	8.79524E-05	5	4	14.46480938	0.015746976	LALB_v3.1_02775, LALB_v3.1_03505, LALB_v3.1_04957, LALB_v3.1_08809								
.....GO:0001941	BP	postsynaptic membrane organization	4/341	9/9865	0.000154005	5	4	12.85760834	0.022620758	LALB_v3.1_00437, LALB_v3.1_06867, LALB_v3.1_08348, LALB_v3.1_08351								
....GO:0009954	BP	proximal/distal pattern formation	6/341	14/9865	3.87666E-06	4	6	12.39840804	0.00130498	LALB_v3.1_02775, LALB_v3.1_03505, LALB_v3.1_04957, LALB_v3.1_05489, LALB_v3.1_08809, LALB_v3.1_09945								
....GO:0044331	BP	cell-cell adhesion mediated by cadherin	4/341	11/9865	0.000381723	4	4	10.51986137	0.04076281	LALB_v3.1_00841, LALB_v3.1_00972, LALB_v3.1_02759, LALB_v3.1_10682								
.....GO:0097090	BP	presynaptic membrane organization	4/341	11/9865	0.000381723	Jan-00	Jan-00	10.51986137	Jan-00	LALB_v3.1_00437, LALB_v3.1_06867, LALB_v3.1_08348, LALB_v3.1_08351								
