SOCIAL-BIASED_DAEs (including all genes within 10kb of social-biased DAEs)																		
# GO	NS	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	enrichment	p_fdr_bh	study_items								
......GO:0031333	BP	negative regulation of protein-containing complex assembly	10/551	38/9865	3.11E-05	6	10	4.711529277	0.02788038	LALB_v3.1_00052, LALB_v3.1_00053, LALB_v3.1_02644, LALB_v3.1_02662, LALB_v3.1_03581, LALB_v3.1_05546, LALB_v3.1_05733, LALB_v3.1_08290, LALB_v3.1_09801, LALB_v3.1_09988								
.....GO:0048592	BP	eye morphogenesis	14/551	57/9865	2.02E-06	5	14	4.397427325	0.004348319	LALB_v3.1_00443, LALB_v3.1_00917, LALB_v3.1_01515, LALB_v3.1_01681, LALB_v3.1_02543, LALB_v3.1_03582, LALB_v3.1_06343, LALB_v3.1_06345, LALB_v3.1_06567, LALB_v3.1_07786, LALB_v3.1_08279, LALB_v3.1_08347, LALB_v3.1_08644, LALB_v3.1_08809								
....GO:0090596	BP	sensory organ morphogenesis	14/551	61/9865	4.80E-06	4	14	4.109071435	0.006463701	LALB_v3.1_00443, LALB_v3.1_00917, LALB_v3.1_01515, LALB_v3.1_01681, LALB_v3.1_02543, LALB_v3.1_03582, LALB_v3.1_06343, LALB_v3.1_06345, LALB_v3.1_06567, LALB_v3.1_07786, LALB_v3.1_08279, LALB_v3.1_08347, LALB_v3.1_08644, LALB_v3.1_08809								
....GO:0060429	BP	epithelium development	13/551	63/9865	3.54E-05	4	13	3.694437243	0.029338765	LALB_v3.1_00052, LALB_v3.1_00053, LALB_v3.1_00893, LALB_v3.1_01936, LALB_v3.1_02034, LALB_v3.1_03501, LALB_v3.1_03582, LALB_v3.1_05489, LALB_v3.1_06567, LALB_v3.1_07308, LALB_v3.1_07816, LALB_v3.1_08221, LALB_v3.1_09489								
.....GO:0043254	BP	regulation of protein-containing complex assembly	18/551	113/9865	4.97E-05	5	18	2.851934536	0.038278581	LALB_v3.1_00052, LALB_v3.1_00053, LALB_v3.1_00056, LALB_v3.1_00062, LALB_v3.1_02034, LALB_v3.1_02644, LALB_v3.1_02662, LALB_v3.1_03501, LALB_v3.1_03581, LALB_v3.1_05546, LALB_v3.1_05733, LALB_v3.1_07559, LALB_v3.1_07970, LALB_v3.1_08153, LALB_v3.1_08290, LALB_v3.1_08420, LALB_v3.1_09801, LALB_v3.1_09988								
.......GO:0000978	MF	RNA polymerase II cis-regulatory region sequence-specific DNA binding	31/551	233/9865	6.84E-06	9	31	2.382052141	0.007707232	LALB_v3.1_00415, LALB_v3.1_00920, LALB_v3.1_01626, LALB_v3.1_01681, LALB_v3.1_01906, LALB_v3.1_02034, LALB_v3.1_02543, LALB_v3.1_02969, LALB_v3.1_03695, LALB_v3.1_04126, LALB_v3.1_04443, LALB_v3.1_04510, LALB_v3.1_04920, LALB_v3.1_05489, LALB_v3.1_05826, LALB_v3.1_06082, LALB_v3.1_06343, LALB_v3.1_06345, LALB_v3.1_07231, LALB_v3.1_07306, LALB_v3.1_07308, LALB_v3.1_07786, LALB_v3.1_07814, LALB_v3.1_07862, LALB_v3.1_08153, LALB_v3.1_08279, LALB_v3.1_09423, LALB_v3.1_09437, LALB_v3.1_09489, LALB_v3.1_09801, LALB_v3.1_09990								
......GO:0000987	MF	cis-regulatory region sequence-specific DNA binding	31/551	239/9865	1.03E-05	8	31	2.322251669	0.008699832	LALB_v3.1_00415, LALB_v3.1_00920, LALB_v3.1_01626, LALB_v3.1_01681, LALB_v3.1_01906, LALB_v3.1_02034, LALB_v3.1_02543, LALB_v3.1_02969, LALB_v3.1_03695, LALB_v3.1_04126, LALB_v3.1_04443, LALB_v3.1_04510, LALB_v3.1_04920, LALB_v3.1_05489, LALB_v3.1_05826, LALB_v3.1_06082, LALB_v3.1_06343, LALB_v3.1_06345, LALB_v3.1_07231, LALB_v3.1_07306, LALB_v3.1_07308, LALB_v3.1_07786, LALB_v3.1_07814, LALB_v3.1_07862, LALB_v3.1_08153, LALB_v3.1_08279, LALB_v3.1_09423, LALB_v3.1_09437, LALB_v3.1_09489, LALB_v3.1_09801, LALB_v3.1_09990								
...GO:0000981	MF	DNA-binding transcription factor activity, RNA polymerase II-specific	39/551	303/9865	1.20E-06	3	39	2.304450953	0.004068368	LALB_v3.1_00343, LALB_v3.1_00415, LALB_v3.1_00443, LALB_v3.1_00463, LALB_v3.1_00920, LALB_v3.1_01626, LALB_v3.1_01681, LALB_v3.1_01864, LALB_v3.1_01906, LALB_v3.1_02034, LALB_v3.1_02543, LALB_v3.1_02969, LALB_v3.1_03164, LALB_v3.1_03675, LALB_v3.1_03695, LALB_v3.1_04126, LALB_v3.1_04443, LALB_v3.1_04510, LALB_v3.1_04920, LALB_v3.1_05489, LALB_v3.1_05826, LALB_v3.1_06082, LALB_v3.1_06343, LALB_v3.1_06345, LALB_v3.1_06840, LALB_v3.1_07231, LALB_v3.1_07306, LALB_v3.1_07308, LALB_v3.1_07314, LALB_v3.1_07786, LALB_v3.1_07814, LALB_v3.1_07862, LALB_v3.1_08153, LALB_v3.1_08279, LALB_v3.1_08379, LALB_v3.1_09437, LALB_v3.1_09489, LALB_v3.1_09987, LALB_v3.1_09990								
...GO:0009887	BP	animal organ morphogenesis	31/551	247/9865	2.74E-05	3	31	2.24703704	0.026817611	LALB_v3.1_00052, LALB_v3.1_00053, LALB_v3.1_00443, LALB_v3.1_00917, LALB_v3.1_01515, LALB_v3.1_01681, LALB_v3.1_01936, LALB_v3.1_02543, LALB_v3.1_03445, LALB_v3.1_03505, LALB_v3.1_03582, LALB_v3.1_04443, LALB_v3.1_04457, LALB_v3.1_05489, LALB_v3.1_05546, LALB_v3.1_05826, LALB_v3.1_05997, LALB_v3.1_06018, LALB_v3.1_06107, LALB_v3.1_06343, LALB_v3.1_06345, LALB_v3.1_06567, LALB_v3.1_07306, LALB_v3.1_07786, LALB_v3.1_07918, LALB_v3.1_08153, LALB_v3.1_08279, LALB_v3.1_08347, LALB_v3.1_08464, LALB_v3.1_08644, LALB_v3.1_08809								
..GO:0003700	MF	DNA-binding transcription factor activity	42/551	359/9865	5.30E-06	2	42	2.094596302	0.007707232	LALB_v3.1_00343, LALB_v3.1_00415, LALB_v3.1_00443, LALB_v3.1_00463, LALB_v3.1_00920, LALB_v3.1_01626, LALB_v3.1_01681, LALB_v3.1_01864, LALB_v3.1_01906, LALB_v3.1_02034, LALB_v3.1_02543, LALB_v3.1_02969, LALB_v3.1_03164, LALB_v3.1_03445, LALB_v3.1_03675, LALB_v3.1_03695, LALB_v3.1_04126, LALB_v3.1_04443, LALB_v3.1_04510, LALB_v3.1_04920, LALB_v3.1_04927, LALB_v3.1_05489, LALB_v3.1_05826, LALB_v3.1_06082, LALB_v3.1_06343, LALB_v3.1_06345, LALB_v3.1_06840, LALB_v3.1_07231, LALB_v3.1_07306, LALB_v3.1_07308, LALB_v3.1_07314, LALB_v3.1_07786, LALB_v3.1_07814, LALB_v3.1_07862, LALB_v3.1_08153, LALB_v3.1_08279, LALB_v3.1_08379, LALB_v3.1_09437, LALB_v3.1_09489, LALB_v3.1_09987, LALB_v3.1_09990, LALB_v3.1_10777								
