SOLITARY-BIASED_DAEs (including all genes within 10kb of solitary-biased DAEs)																		
# GO	NS	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	enrichment	p_fdr_bh	study_items								
......GO:0098916	BP	anterograde trans-synaptic signaling	24/680	129/9865	6.55E-06	7	24	2.699042408	0.00881314	LALB_v3.1_00165, LALB_v3.1_00437, LALB_v3.1_00538, LALB_v3.1_00989, LALB_v3.1_02389, LALB_v3.1_03151, LALB_v3.1_03168, LALB_v3.1_03364, LALB_v3.1_03583, LALB_v3.1_03776, LALB_v3.1_03887, LALB_v3.1_03936, LALB_v3.1_05966, LALB_v3.1_06815, LALB_v3.1_07689, LALB_v3.1_08061, LALB_v3.1_08310, LALB_v3.1_08348, LALB_v3.1_08349, LALB_v3.1_08351, LALB_v3.1_08420, LALB_v3.1_08927, LALB_v3.1_09119, LALB_v3.1_10812								
.......GO:0007268	BP	chemical synaptic transmission	24/680	129/9865	6.55E-06	8	24	2.699042408	0.00881314	LALB_v3.1_00165, LALB_v3.1_00437, LALB_v3.1_00538, LALB_v3.1_00989, LALB_v3.1_02389, LALB_v3.1_03151, LALB_v3.1_03168, LALB_v3.1_03364, LALB_v3.1_03583, LALB_v3.1_03776, LALB_v3.1_03887, LALB_v3.1_03936, LALB_v3.1_05966, LALB_v3.1_06815, LALB_v3.1_07689, LALB_v3.1_08061, LALB_v3.1_08310, LALB_v3.1_08348, LALB_v3.1_08349, LALB_v3.1_08351, LALB_v3.1_08420, LALB_v3.1_08927, LALB_v3.1_09119, LALB_v3.1_10812								
.....GO:0099537	BP	trans-synaptic signaling	24/680	132/9865	9.86E-06	6	24	2.637700535	0.011802672	LALB_v3.1_00165, LALB_v3.1_00437, LALB_v3.1_00538, LALB_v3.1_00989, LALB_v3.1_02389, LALB_v3.1_03151, LALB_v3.1_03168, LALB_v3.1_03364, LALB_v3.1_03583, LALB_v3.1_03776, LALB_v3.1_03887, LALB_v3.1_03936, LALB_v3.1_05966, LALB_v3.1_06815, LALB_v3.1_07689, LALB_v3.1_08061, LALB_v3.1_08310, LALB_v3.1_08348, LALB_v3.1_08349, LALB_v3.1_08351, LALB_v3.1_08420, LALB_v3.1_08927, LALB_v3.1_09119, LALB_v3.1_10812								
....GO:0099536	BP	synaptic signaling	24/680	137/9865	1.89E-05	5	24	2.541434092	0.020352101	LALB_v3.1_00165, LALB_v3.1_00437, LALB_v3.1_00538, LALB_v3.1_00989, LALB_v3.1_02389, LALB_v3.1_03151, LALB_v3.1_03168, LALB_v3.1_03364, LALB_v3.1_03583, LALB_v3.1_03776, LALB_v3.1_03887, LALB_v3.1_03936, LALB_v3.1_05966, LALB_v3.1_06815, LALB_v3.1_07689, LALB_v3.1_08061, LALB_v3.1_08310, LALB_v3.1_08348, LALB_v3.1_08349, LALB_v3.1_08351, LALB_v3.1_08420, LALB_v3.1_08927, LALB_v3.1_09119, LALB_v3.1_10812								
....GO:0097060	CC	synaptic membrane	21/680	121/9865	7.14E-05	4	21	2.517805056	0.036469873	LALB_v3.1_00112, LALB_v3.1_00437, LALB_v3.1_00989, LALB_v3.1_02566, LALB_v3.1_02980, LALB_v3.1_03151, LALB_v3.1_03366, LALB_v3.1_05173, LALB_v3.1_05966, LALB_v3.1_06107, LALB_v3.1_06683, LALB_v3.1_06815, LALB_v3.1_07689, LALB_v3.1_08061, LALB_v3.1_08310, LALB_v3.1_08348, LALB_v3.1_08349, LALB_v3.1_08351, LALB_v3.1_08420, LALB_v3.1_08848, LALB_v3.1_09402								
...GO:0007267	BP	cell-cell signaling	29/680	169/9865	4.01E-06	4	29	2.489427428	0.00881314	LALB_v3.1_00165, LALB_v3.1_00437, LALB_v3.1_00538, LALB_v3.1_00989, LALB_v3.1_02389, LALB_v3.1_03151, LALB_v3.1_03168, LALB_v3.1_03364, LALB_v3.1_03583, LALB_v3.1_03776, LALB_v3.1_03887, LALB_v3.1_03936, LALB_v3.1_04612, LALB_v3.1_04626, LALB_v3.1_05966, LALB_v3.1_06054, LALB_v3.1_06815, LALB_v3.1_07620, LALB_v3.1_07689, LALB_v3.1_08061, LALB_v3.1_08310, LALB_v3.1_08348, LALB_v3.1_08349, LALB_v3.1_08351, LALB_v3.1_08420, LALB_v3.1_08927, LALB_v3.1_09119, LALB_v3.1_09278, LALB_v3.1_10812								
...GO:0023052	BP	signaling	29/680	170/9865	4.52E-06	3	29	2.474783737	0.00881314	LALB_v3.1_00165, LALB_v3.1_00437, LALB_v3.1_00538, LALB_v3.1_00989, LALB_v3.1_02389, LALB_v3.1_03151, LALB_v3.1_03168, LALB_v3.1_03364, LALB_v3.1_03583, LALB_v3.1_03776, LALB_v3.1_03887, LALB_v3.1_03936, LALB_v3.1_04612, LALB_v3.1_04626, LALB_v3.1_05966, LALB_v3.1_06054, LALB_v3.1_06815, LALB_v3.1_07620, LALB_v3.1_07689, LALB_v3.1_08061, LALB_v3.1_08310, LALB_v3.1_08348, LALB_v3.1_08349, LALB_v3.1_08351, LALB_v3.1_08420, LALB_v3.1_08927, LALB_v3.1_09119, LALB_v3.1_09278, LALB_v3.1_10812								
..GO:0007610	BP	behavior	44/680	314/9865	6.53E-06	2	44	2.032877482	0.00881314	LALB_v3.1_00165, LALB_v3.1_00275, LALB_v3.1_00419, LALB_v3.1_00532, LALB_v3.1_00605, LALB_v3.1_00849, LALB_v3.1_00865, LALB_v3.1_02017, LALB_v3.1_02379, LALB_v3.1_02389, LALB_v3.1_02697, LALB_v3.1_02729, LALB_v3.1_02775, LALB_v3.1_03258, LALB_v3.1_03583, LALB_v3.1_03886, LALB_v3.1_03887, LALB_v3.1_04018, LALB_v3.1_04239, LALB_v3.1_04591, LALB_v3.1_05079, LALB_v3.1_05766, LALB_v3.1_06097, LALB_v3.1_06107, LALB_v3.1_07306, LALB_v3.1_07593, LALB_v3.1_07620, LALB_v3.1_07689, LALB_v3.1_07860, LALB_v3.1_08061, LALB_v3.1_08310, LALB_v3.1_08349, LALB_v3.1_08351, LALB_v3.1_08368, LALB_v3.1_08627, LALB_v3.1_08633, LALB_v3.1_09078, LALB_v3.1_09085, LALB_v3.1_09119, LALB_v3.1_09242, LALB_v3.1_09486, LALB_v3.1_09512, LALB_v3.1_09786, LALB_v3.1_10027								
...GO:0045202	CC	synapse	38/680	275/9865	3.17E-05	3	38	2.004652406	0.024298582	LALB_v3.1_00112, LALB_v3.1_00165, LALB_v3.1_00437, LALB_v3.1_00538, LALB_v3.1_00865, LALB_v3.1_00989, LALB_v3.1_01410, LALB_v3.1_02389, LALB_v3.1_02566, LALB_v3.1_02980, LALB_v3.1_03168, LALB_v3.1_03366, LALB_v3.1_03394, LALB_v3.1_03776, LALB_v3.1_03887, LALB_v3.1_03936, LALB_v3.1_04591, LALB_v3.1_04626, LALB_v3.1_05173, LALB_v3.1_06097, LALB_v3.1_06491, LALB_v3.1_06683, LALB_v3.1_06815, LALB_v3.1_07140, LALB_v3.1_07419, LALB_v3.1_08061, LALB_v3.1_08310, LALB_v3.1_08348, LALB_v3.1_08349, LALB_v3.1_08351, LALB_v3.1_08420, LALB_v3.1_08927, LALB_v3.1_09017, LALB_v3.1_09119, LALB_v3.1_09381, LALB_v3.1_09402, LALB_v3.1_09486, LALB_v3.1_10812								
..GO:0030054	CC	cell junction	58/680	472/9865	1.45E-05	2	58	1.7826832	0.022266994	LALB_v3.1_00112, LALB_v3.1_00165, LALB_v3.1_00437, LALB_v3.1_00538, LALB_v3.1_00841, LALB_v3.1_00865, LALB_v3.1_00989, LALB_v3.1_01410, LALB_v3.1_01652, LALB_v3.1_02200, LALB_v3.1_02389, LALB_v3.1_02566, LALB_v3.1_02759, LALB_v3.1_02980, LALB_v3.1_03168, LALB_v3.1_03291, LALB_v3.1_03366, LALB_v3.1_03394, LALB_v3.1_03776, LALB_v3.1_03887, LALB_v3.1_03936, LALB_v3.1_04368, LALB_v3.1_04591, LALB_v3.1_04626, LALB_v3.1_05173, LALB_v3.1_05525, LALB_v3.1_05663, LALB_v3.1_05815, LALB_v3.1_06097, LALB_v3.1_06107, LALB_v3.1_06178, LALB_v3.1_06491, LALB_v3.1_06683, LALB_v3.1_06815, LALB_v3.1_07140, LALB_v3.1_07419, LALB_v3.1_07576, LALB_v3.1_07820, LALB_v3.1_07921, LALB_v3.1_08061, LALB_v3.1_08194, LALB_v3.1_08310, LALB_v3.1_08348, LALB_v3.1_08349, LALB_v3.1_08351, LALB_v3.1_08420, LALB_v3.1_08621, LALB_v3.1_08927, LALB_v3.1_09017, LALB_v3.1_09119, LALB_v3.1_09242, LALB_v3.1_09381, LALB_v3.1_09402, LALB_v3.1_09486, LALB_v3.1_09512, LALB_v3.1_10612, LALB_v3.1_10714, LALB_v3.1_10812								
