Population	SiteCode	SampleID	Location	Sex	Date collected	Date DNA pooled
TOM	BRS	ESW8L-F8	46.635517, 6.267017	Female	6/3/2015	2/10/2021
TOM	TOM2	BMJ6-G3	46.591458, 6.183081	Female	8/26/2016	2/10/2021
TOM	TOM	BMJ7-H8	46.591458, 6.183081	Male	8/17/2019	2/10/2021
TOM	TOM	ESW9L-B12	46.591458, 6.183081	Female	6/2/2015	2/10/2021
TOM	TOM	BMJ8-A1	46.591458, 6.183081	Female	8/17/2019	2/10/2021
TOM	TOM	ESW3L-A11	46.591458, 6.183081	Male	9/13/2015	2/10/2021
RIM	RIM	BMJ5-F3	43.017639, 1.282417	Female	9/4/2016	2/10/2021
RIM	RIM	BMJ6-H3	43.017639, 1.282417	Female	9/13/2016	2/10/2021
RIM	RIM-BR	ESW7L-A10	43.017639, 1.282417	Male	8/26/2015	2/10/2021
RIM	RIM-BR	ESW7L-A9	43.017639, 1.282417	Male	8/26/2015	2/10/2021
RIM	RIM-BR	ESW7L-B4	43.017639, 1.282417	Female	8/27/2015	2/10/2021
RIM	RIM-BR	ESW7L-C2	43.017639, 1.282417	Female	8/27/2015	2/10/2021
ANO	ANO	ESW2L-F2	48.16565, 6.93365	Male	9/12/2015	6/17/2021
ANO	ANO	ESW2L-G7	48.16565, 6.93365	Male	9/12/2015	6/17/2021
ANO	ANO	ESW3L-F10	48.16565, 6.93365	Male	9/12/2015	6/17/2021
WIM	WIM	ESW1L-H10	50.750111,1.600081	Male	9/9/2015	6/17/2021
WIM	WIM	ESW2L-B2	50.750111,1.600081	Male	9/9/2015	6/17/2021
WIM	WIM	ESW2L-B7	50.750111,1.600081	Male	9/10/2015	6/17/2021
AIL	AIL	ESW6L-C6	44.84305, 1.306067	Male	8/29/2015	3/29/2022
AIL	AIL	ESW6L-H6	44.84305, 1.306067	Male	8/29/2015	3/29/2022
AIL	AIL	ESW6L-F7	44.84305, 1.306067	Male	8/30/2015	3/29/2022
AIL	AIL	ESW6L-G6	44.84305, 1.306067	Male	8/30/2015	3/29/2022
VEN	VEN	FRA_21_0299	44.18095, 5.258867	Female	6/5/2021	3/29/2022
VEN	VEN	FRA_21_0458	44.18095, 5.258867	Male	8/5/2021	3/29/2022
VEN	VEN	FRA_21_0461	44.18095, 5.258867	Male	8/5/2021	3/29/2022
