trinotate.gene_id	trinotate.gene_ontology_BLASTP
LALB_v3.1_03414	GO:0005737, GO:0005634, GO:0035259, GO:0031267, GO:0006606
LALB_v3.1_04137	GO:0005634, GO:0030688, GO:0006364
LALB_v3.1_03132	GO:0005743, GO:0005739, GO:0015218, GO:0045333, GO:0030302, GO:0040011, GO:0000002, GO:0006390, GO:0006839, GO:0048311, GO:0007005, GO:1990519
LALB_v3.1_04001	.
LALB_v3.1_04063	GO:0005760, GO:0005759, GO:0042645, GO:0005739, GO:0008408, GO:0008296, GO:0003677, GO:0003887, GO:0000166, GO:0045004, GO:0006261, GO:0006264, GO:0000001, GO:0030382
LALB_v3.1_03243	GO:0000775, GO:0005737, GO:0030496, GO:0005730, GO:0005886, GO:0005819, GO:0007049, GO:0051301
LALB_v3.1_03694	GO:0005694, GO:0000794, GO:0000796, GO:0005829, GO:0005654, GO:0005634, GO:0003682, GO:0051301, GO:0051309, GO:0007143, GO:0010032, GO:0045132, GO:0007076, GO:1905821, GO:0051984, GO:1905820
LALB_v3.1_03920	.
LALB_v3.1_04189	.
LALB_v3.1_03238	GO:0005576, GO:0047376, GO:0046872, GO:0004806, GO:0016042
LALB_v3.1_03238	GO:0005576, GO:0047376, GO:0046872, GO:0004806, GO:0016042
LALB_v3.1_03238	GO:0005576, GO:0047376, GO:0046872, GO:0004806, GO:0016042
LALB_v3.1_04057	GO:0005762, GO:0003735, GO:0032543
LALB_v3.1_03339	GO:0005769, GO:0031901, GO:0035091, GO:0032266, GO:0006886, GO:0009968
LALB_v3.1_03972	.
LALB_v3.1_03236	GO:0030426, GO:0043025, GO:0005634, GO:0005681, GO:0003729, GO:0006376, GO:0033119, GO:2000177, GO:0043484
LALB_v3.1_03236	GO:0044306, GO:0005634, GO:0003677, GO:0003729, GO:0036002, GO:0001069, GO:0003723, GO:0043565, GO:0003697, GO:0000014, GO:0070935, GO:0003231, GO:0010467, GO:0075522, GO:0006397, GO:0048025, GO:0051148, GO:0045665, GO:0033119, GO:0022008, GO:0000956, GO:0070886, GO:0032024, GO:0010976, GO:0035307, GO:1904411, GO:0045944, GO:0045727, GO:0000381, GO:0045595, GO:0043484, GO:0008380
LALB_v3.1_03236	GO:0030426, GO:0043025, GO:0005634, GO:0005681, GO:0003729, GO:0006376, GO:0033119, GO:2000177, GO:0043484
LALB_v3.1_03236	GO:0030426, GO:0043025, GO:0005634, GO:0005681, GO:0003729, GO:0006376, GO:0033119, GO:2000177, GO:0043484
LALB_v3.1_03236	GO:0044306, GO:0005634, GO:0003677, GO:0003729, GO:0036002, GO:0001069, GO:0003723, GO:0043565, GO:0003697, GO:0000014, GO:0070935, GO:0003231, GO:0010467, GO:0075522, GO:0006397, GO:0048025, GO:0051148, GO:0045665, GO:0033119, GO:0022008, GO:0000956, GO:0070886, GO:0032024, GO:0010976, GO:0035307, GO:1904411, GO:0045944, GO:0045727, GO:0000381, GO:0045595, GO:0043484, GO:0008380
LALB_v3.1_03236	GO:0030426, GO:0043025, GO:0005634, GO:0005681, GO:0003729, GO:0006376, GO:0033119, GO:2000177, GO:0043484
LALB_v3.1_03236	GO:0044306, GO:0005634, GO:0003677, GO:0003729, GO:0036002, GO:0001069, GO:0003723, GO:0043565, GO:0003697, GO:0000014, GO:0070935, GO:0003231, GO:0010467, GO:0075522, GO:0006397, GO:0048025, GO:0051148, GO:0045665, GO:0033119, GO:0022008, GO:0000956, GO:0070886, GO:0032024, GO:0010976, GO:0035307, GO:1904411, GO:0045944, GO:0045727, GO:0000381, GO:0045595, GO:0043484, GO:0008380
LALB_v3.1_03805	GO:0016020, GO:0051119, GO:0009624
LALB_v3.1_03705	GO:0005789, GO:0005886, GO:0055038, GO:0005774, GO:0005280, GO:0015187, GO:0015180, GO:0015193, GO:0005297, GO:0032973, GO:0015816, GO:0015808, GO:1900925, GO:0035524, GO:0015824, GO:1902600, GO:0070881, GO:0010155
LALB_v3.1_03705	GO:0005789, GO:0005886, GO:0055038, GO:0005774, GO:0005280, GO:0015187, GO:0015180, GO:0015193, GO:0005297, GO:0032973, GO:0015816, GO:0015808, GO:1900925, GO:0035524, GO:0015824, GO:1902600, GO:0070881, GO:0010155
LALB_v3.1_03387	GO:0030424, GO:0043204, GO:0042734, GO:0004222, GO:0061367, GO:0061368, GO:0045184, GO:0033555, GO:0006508
LALB_v3.1_03387	GO:0030424, GO:0043204, GO:0042734, GO:0004222, GO:0061367, GO:0061368, GO:0045184, GO:0033555, GO:0006508
LALB_v3.1_03387	GO:0030424, GO:0043204, GO:0042734, GO:0004222, GO:0061367, GO:0061368, GO:0045184, GO:0033555, GO:0006508
LALB_v3.1_03387	GO:0030424, GO:0043204, GO:0042734, GO:0004222, GO:0061367, GO:0061368, GO:0045184, GO:0033555, GO:0006508
LALB_v3.1_03271	GO:0005938, GO:0005737, GO:0031410, GO:0005829, GO:0043198, GO:0043197, GO:0070062, GO:0098978, GO:0016020, GO:0098685, GO:0008021, GO:0012506, GO:0003779, GO:0045296, GO:0042802, GO:0017022, GO:0005102, GO:0098761, GO:0007268, GO:0043542, GO:0007186, GO:0014047, GO:0032435, GO:0032467, GO:0048023, GO:0030511, GO:0099171, GO:0006605, GO:0031647, GO:0048167
LALB_v3.1_04190	.
LALB_v3.1_03977	.
LALB_v3.1_03556	GO:0005818, GO:0005737, GO:0005783, GO:0045169, GO:0005794, GO:0005871, GO:0005874, GO:0005875, GO:0072686, GO:1990498, GO:0097431, GO:0005634, GO:0005819, GO:0005876, GO:0005524, GO:0003774, GO:0008017, GO:0008574, GO:0051301, GO:0051299, GO:0045478, GO:0007030, GO:0001578, GO:0007018, GO:0000278, GO:0007100, GO:0090307, GO:0007052, GO:0031535, GO:0042998, GO:0009306, GO:0051231
LALB_v3.1_03355	GO:0031011, GO:0005730, GO:0005654, GO:0006338, GO:0006310, GO:0006281
LALB_v3.1_04052	GO:0005886
LALB_v3.1_03382	GO:0005730, GO:0005654, GO:0003723, GO:0009383, GO:0000470, GO:0008284, GO:1901796, GO:0000027, GO:0070475
LALB_v3.1_04085	GO:0005576, GO:0004252, GO:0006508
LALB_v3.1_03190	GO:0000139, GO:0005802, GO:0001517, GO:0005975, GO:0006954, GO:0050901, GO:0006044, GO:1903238, GO:0006790
LALB_v3.1_03190	GO:0000139, GO:0005802, GO:0001517, GO:0005975, GO:0006954, GO:0050901, GO:0006044, GO:1903238, GO:0006790
LALB_v3.1_03190	GO:0000139, GO:0005802, GO:0001517, GO:0005975, GO:0006954, GO:0050901, GO:0006044, GO:1903238, GO:0006790
LALB_v3.1_03666	GO:0005634, GO:0003677, GO:0003700, GO:0046872, GO:0090425, GO:0031018
LALB_v3.1_03137	GO:0005739, GO:0008408, GO:0000175, GO:0003676, GO:0016070
LALB_v3.1_03393	GO:0005829, GO:0005743, GO:0005741, GO:0005739, GO:0005524, GO:0046872, GO:0004674, GO:0031625, GO:0000422, GO:0018105, GO:1904544, GO:0090141, GO:0031398, GO:0046777, GO:0042981
LALB_v3.1_03584	.
LALB_v3.1_03668	GO:0016592, GO:0003712, GO:0006357
LALB_v3.1_03781	GO:0045171, GO:0015630, GO:0005654, GO:0005634, GO:0016422, GO:0099122, GO:1990269, GO:1904047, GO:0080009, GO:0017148, GO:0045727
