chr	start	end	peak	int_effect	int_qval	SocvSol	priority_gene	fly_protein	fly_Name	fly_Symbol	all_genes	fly_protein_all	fly_Name_all	fly_Symbol_all
LALB_chr_1	430429	431249	LALB_chr_1,Parent=peak25	0.429436653	0.017442917	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	1119013	1119479	LALB_chr_1,Parent=peak50	-0.959903848	0.017442917	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	1251703	1252403	LALB_chr_1,Parent=peak67	0.600088173	0.029137881	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	1341501	1343023	LALB_chr_1,Parent=peak76	0.683132584	0.005157	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	1711846	1715190	LALB_chr_1,Parent=peak120	0.417211173	0.035656212	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	1725231	1726568	LALB_chr_1,Parent=peak121	0.774015324	0.004691211	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	1813304	1814251	LALB_chr_1,Parent=peak134	-0.648547149	0.005041948	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	2496137	2496680	LALB_chr_1,Parent=peak214	-0.739200525	0.030155339	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	3036316	3037266	LALB_chr_1,Parent=peak247	-0.853048175	0.033587724	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	3359534	3360400	LALB_chr_1,Parent=peak258	-0.690515884	0.032007984	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	3764101	3764730	LALB_chr_1,Parent=peak278	0.914176458	0.018568109	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	4522783	4524031	LALB_chr_1,Parent=peak348	-0.439923831	0.034625419	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	5594592	5595405	LALB_chr_1,Parent=peak433	0.55631927	0.035236964	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	5946329	5948337	LALB_chr_1,Parent=peak453	-0.586352252	0.030542201	social	LALB_v3.1_00052	NP_651172.1	Glucocerebrosidase 1a	Gba1a	LALB_v3.1_00052,LALB_v3.1_00053	NP_651172.1	Glucocerebrosidase 1a	Gba1a
LALB_chr_1	6055301	6056219	LALB_chr_1,Parent=peak458	-0.701456274	0.009107504	social	LALB_v3.1_00056	NP_572819.4	tomosyn, isoform J	Tomosyn	LALB_v3.1_00056	NP_572819.4	tomosyn, isoform J	Tomosyn
LALB_chr_1	6204201	6205005	LALB_chr_1,Parent=peak469	1.239241049	0.006840005	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	6645258	6646017	LALB_chr_1,Parent=peak505	-1.061698137	0.034807352	social	LALB_v3.1_00062	NP_732105.2	mini spindles	msps	LALB_v3.1_00061,LALB_v3.1_00062	NP_732105.2	mini spindles	msps
LALB_chr_1	7295798	7297106	LALB_chr_1,Parent=peak554	0.686289379	0.032596147	solitary	LALB_v3.1_00112	NA	NA	NA	LALB_v3.1_00112	NA	NA	NA
LALB_chr_1	7313374	7315467	LALB_chr_1,Parent=peak556	NA	NA	not_tested	LALB_v3.1_00112	NA	NA	NA	LALB_v3.1_00112	NA	NA	NA
LALB_chr_1	7345707	7346806	LALB_chr_1,Parent=peak562	-0.765624462	0.024385615	social	LALB_v3.1_00112	NA	NA	NA	LALB_v3.1_00112	NA	NA	NA
LALB_chr_1	7617758	7619267	LALB_chr_1,Parent=peak591	-0.990654141	0.01369119	social	LALB_v3.1_00112	NA	NA	NA	LALB_v3.1_00112	NA	NA	NA
LALB_chr_1	8025507	8026380	LALB_chr_1,Parent=peak644	0.734857137	0.043878261	solitary	LALB_v3.1_00120	NP_611079.2	uncharacterized protein, isoform A	CG8399	LALB_v3.1_00121,LALB_v3.1_00120	NP_611079.2	uncharacterized protein, isoform A	CG8399
LALB_chr_1	8123581	8124575	LALB_chr_1,Parent=peak656	1.806978937	0.007227548	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	9186710	9187593	LALB_chr_1,Parent=peak752	0.856984917	0.004615058	solitary	LALB_v3.1_00165	NA	NA	NA	LALB_v3.1_00165	NA	NA	NA
LALB_chr_1	9736215	9738249	LALB_chr_1,Parent=peak798	0.938379542	0.00159837	solitary	LALB_v3.1_00183	NA	NA	NA	LALB_v3.1_00183	NA	NA	NA
LALB_chr_1	10403463	10404628	LALB_chr_1,Parent=peak840	0.554697827	0.022069223	solitary	LALB_v3.1_00210	NP_651088.1	ring finger protein 220	RNF220	LALB_v3.1_00210,LALB_v3.1_00209	NP_651088.1	ring finger protein 220	RNF220
LALB_chr_1	10514341	10515094	LALB_chr_1,Parent=peak846	0.929946974	0.000465825	solitary	LALB_v3.1_00210	NP_651088.1	ring finger protein 220	RNF220	LALB_v3.1_00210	NP_651088.1	ring finger protein 220	RNF220
LALB_chr_1	11087427	11089147	LALB_chr_1,Parent=peak891	1.668254302	0.00159837	solitary	LALB_v3.1_00227	NA	NA	NA	LALB_v3.1_00226,LALB_v3.1_00228,LALB_v3.1_00227	NA	NA	NA
LALB_chr_1	11572046	11572750	LALB_chr_1,Parent=peak924	0.751128784	0.011091595	solitary	LALB_v3.1_00263	NP_649102.3	uncharacterized protein	CG14086	LALB_v3.1_00263,LALB_v3.1_00264,LALB_v3.1_00265	NP_649102.3,NP_651185.1	uncharacterized protein,uncharacterized protein, isoform A	CG14086,CG10375
LALB_chr_1	12358448	12360126	LALB_chr_1,Parent=peak980	1.126335803	0.00488716	solitary	LALB_v3.1_00275	NA	NA	NA	LALB_v3.1_00275	NA	NA	NA
LALB_chr_1	12695166	12696359	LALB_chr_1,Parent=peak1032	-0.729800622	0.035236964	social	LALB_v3.1_00280,LALB_v3.1_00281	NA	NA	NA	LALB_v3.1_00279,LALB_v3.1_00280,LALB_v3.1_00281,LALB_v3.1_00282	NA	NA	NA
LALB_chr_1	13075123	13075711	LALB_chr_1,Parent=peak1075	-0.702072198	0.03912335	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	13862035	13862741	LALB_chr_1,Parent=peak1179	-0.833851347	0.024169327	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	13888845	13891904	LALB_chr_1,Parent=peak1185	0.562479584	0.047873967	solitary	LALB_v3.1_00310	NP_611023.1	uncharacterized protein, isoform A	CG8079	LALB_v3.1_00310	NP_611023.1	uncharacterized protein, isoform A	CG8079
LALB_chr_1	14389622	14391386	LALB_chr_1,Parent=peak1240	-0.551091918	0.017206842	social	LALB_v3.1_00331	NA	NA	NA	LALB_v3.1_00331,LALB_v3.1_00332,LALB_v3.1_00333	NP_611869.1,NP_524879.2	Radial spoke head protein 4a,ellipsoid body open	Rsph4a,ebo
LALB_chr_1	14836721	14837553	LALB_chr_1,Parent=peak1295	-0.937854875	0.012178964	social	LALB_v3.1_00342	NA	NA	NA	LALB_v3.1_00341,LALB_v3.1_00342,LALB_v3.1_00343	NP_651951.1	forkhead domain 102C	fd102C
LALB_chr_1	14850583	14852273	LALB_chr_1,Parent=peak1297	-0.787723608	0.002628736	social	LALB_v3.1_00343	NP_651951.1	forkhead domain 102C	fd102C	LALB_v3.1_00343	NP_651951.1	forkhead domain 102C	fd102C
LALB_chr_1	15697794	15700033	LALB_chr_1,Parent=peak1391	-0.53907181	0.036531646	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	16451019	16452445	LALB_chr_1,Parent=peak1502	-0.648625622	0.006374574	social	LALB_v3.1_00415	NP_476605.1	cropped	crp	LALB_v3.1_00415	NP_476605.1	cropped	crp
LALB_chr_1	16692723	16694380	LALB_chr_1,Parent=peak1537	0.507887007	0.037139029	solitary	LALB_v3.1_00419	NP_524638.3	twin of eyeless	toy	LALB_v3.1_00421,LALB_v3.1_00419	NP_524638.3	twin of eyeless	toy
LALB_chr_1	16704197	16708369	LALB_chr_1,Parent=peak1539	0.438928966	0.043229014	solitary	LALB_v3.1_00421	NA	NA	NA	LALB_v3.1_00419,LALB_v3.1_00422,LALB_v3.1_00421	NP_524638.3,NP_001036335.3	twin of eyeless,uncharacterized protein, isoform B	toy,CG34126
LALB_chr_1	16724131	16725855	LALB_chr_1,Parent=peak1540	0.900815236	0.018311262	solitary	LALB_v3.1_00422,LALB_v3.1_00423	NP_001036335.3,NP_524905.1	uncharacterized protein, isoform B,scattered	CG34126,scat	LALB_v3.1_00422,LALB_v3.1_00423,LALB_v3.1_00424	NP_001036335.3,NP_524905.1,NP_609289.1	uncharacterized protein, isoform B,scattered,uncharacterized protein	CG34126,scat,CG3769
LALB_chr_1	16748182	16748999	LALB_chr_1,Parent=peak1546	1.587006985	0.027752893	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	16850061	16851670	LALB_chr_1,Parent=peak1561	0.84917203	0.005041948	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	16913853	16914583	LALB_chr_1,Parent=peak1569	-0.695278186	0.034625419	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	16982400	16983532	LALB_chr_1,Parent=peak1584	1.222745035	0.022774306	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	17427252	17429083	LALB_chr_1,Parent=peak1644	0.758753627	0.007551906	solitary	LALB_v3.1_00432	NA	NA	NA	LALB_v3.1_00432	NA	NA	NA
LALB_chr_1	17606960	17608657	LALB_chr_1,Parent=peak1668	1.066931459	0.003169074	solitary	LALB_v3.1_00436,LALB_v3.1_00437	NA	NA	NA	LALB_v3.1_00436,LALB_v3.1_00437	NA	NA	NA
LALB_chr_1	17721421	17722604	LALB_chr_1,Parent=peak1685	-0.506033669	0.029233445	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	17767548	17770464	LALB_chr_1,Parent=peak1691	-0.486514319	0.027167603	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	17921955	17923431	LALB_chr_1,Parent=peak1712	-0.595632978	0.043878261	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	18536576	18537552	LALB_chr_1,Parent=peak1802	-0.620712579	0.045453495	social	LALB_v3.1_00442	NA	NA	NA	LALB_v3.1_00442	NA	NA	NA
LALB_chr_1	18708390	18711344	LALB_chr_1,Parent=peak1826	-0.676465789	0.005756548	social	LALB_v3.1_00443	NA	NA	NA	LALB_v3.1_00443	NA	NA	NA
LALB_chr_1	18830561	18831864	LALB_chr_1,Parent=peak1851	0.553396921	0.02640541	solitary	LALB_v3.1_00443	NA	NA	NA	LALB_v3.1_00443	NA	NA	NA
LALB_chr_1	19119301	19120054	LALB_chr_1,Parent=peak1901	-1.036574683	0.006146887	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	19324527	19325189	LALB_chr_1,Parent=peak1933	0.747816393	0.044877024	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	19370632	19371398	LALB_chr_1,Parent=peak1938	0.874192451	0.034755795	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	20330353	20331132	LALB_chr_1,Parent=peak2063	-0.810501752	0.022505518	social	LALB_v3.1_00463	NP_732768.1	buttonless	btn	LALB_v3.1_00462,LALB_v3.1_00463	NP_651066.2,NP_732768.1	uncharacterized protein,buttonless	CG6937,btn
LALB_chr_1	20892707	20894569	LALB_chr_1,Parent=peak2128	1.594139565	0.002628736	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	21199625	21200359	LALB_chr_1,Parent=peak2158	-0.548639481	0.048111705	social	NA	NA	NA	NA		NA	NA	NA
